event_id,lat,lng,date
38fba4ee-17a4-443f-bce8-42473a929299,-38.9221,146.3946,2012-05-08
45a4ce91-cc68-4020-8f10-737a9c273ada,-38.82619,143.555166,2016-05-04
f87a6e9e-7582-4275-9fbf-3401a2772a26,-38.732263,143.455413,2017-06-13
dddf62a3-ca46-46b0-b9c1-ddb41f95c7be,-38.55423,143.97585,2012-12-27
39624a78-d737-4d59-8ea9-cc75126cb7cd,-38.55262,143.75936,2013-04-09
04e08fc2-8269-4cca-8962-17767acd50e9,-38.5225,146.3223,2013-05-09
4e8cd4f1-553a-4cc3-b337-34523ad60544,-38.5202,146.3226,2013-05-09
bb4e19d8-67f4-4a3c-b8c7-6c0985f6932e,-38.5174,146.3201,2013-05-09
01d35054-0c42-43e4-bd03-856a3d522efb,-38.5165,146.3132,2013-04-15
eb3f515c-f67e-4b07-ae0b-1d3945670d7a,-38.5163,146.3188,2013-04-15
f732a9ac-af9d-4f50-8873-12f3ca295643,-38.5163,146.3188,2013-05-09
3aba5ce5-e722-466a-aeeb-a0d8ad5f7324,-38.507676,143.79168,2017-07-20
3c8ae83b-0af9-4035-82f2-591d1aad6a80,-38.501389,143.721253,2017-12-09
57dafe46-c661-4021-8eca-2ecb18c9decd,-38.472961,143.487462,2017-03-14
71ac0c10-fee0-4a36-8c15-b8f1531338ba,-38.47186,145.26706,2013-01-04
a2d26f3d-08b2-4384-abcf-546a6082d12e,-38.465485,145.011892,2017-03-24
c2b930e7-6654-402e-9012-82c72e6bb265,-38.4651,146.5195,2013-04-15
925c4c20-d695-4ab7-a0b0-3be07cb66bc4,-38.464,146.522,2013-04-15
6e2bd381-b63c-4752-9d59-a5adc8decea1,-38.4628,146.5356,2013-05-29
9f318c30-5925-4781-9a0a-0ddad5f87024,-38.462094,145.285612,2016-07-19
2d560037-ffb9-424c-b4fd-c9ac12b2cae9,-38.4618,146.5362,2013-05-08
cc0bf7e8-a864-420b-968f-20a658127bb0,-38.46165,145.18707,2012-03-11
84281e83-e673-4cd6-9ae5-6c58bed9afe1,-38.46115,143.497088,2017-03-11
08a9476c-bb5d-43d7-9f26-5137c886c788,-38.46078,143.49623,2017-07-06
b4a988a8-ed60-4eff-9b56-f2793b38b7d2,-38.46078,143.49623,2017-07-12
0898292b-06ce-4fad-b270-d5ed828d2f08,-38.4592,144.8933,2013-04-24
ae536fb7-e498-458e-a8f6-361ef4974379,-38.4591,144.9319,2013-04-21
b0ea990d-8deb-47d1-b236-cda72758ea47,-38.4589,144.8928,2013-04-24
