event_id,product,variable,s_buff,t_buff,value,stdev,pixel_count,total_scenes,total_value_scenes,notes
b34e39ac-1a90-4360-9600-9bd94e6647fe,modis,lst_day,1000,1,,,0.0,1,0,Values masked using quality control flag.
2ad772db-2ee1-4c33-90ad-b41fee4c4432,modis,lst_day,1000,1,,,0.0,1,0,Values masked using quality control flag.
8399cc3b-637b-486b-b82a-31f34a5144ca,modis,lst_day,1000,1,,,0.0,1,0,Values masked using quality control flag.
edb0b79a-3cf1-42f5-ad34-213a3cd253cd,modis,lst_day,1000,1,,,0.0,1,0,Values masked using quality control flag.
a1831035-c16a-4a86-bc01-a2874338cf21,modis,lst_day,1000,1,,,0.0,1,0,Values masked using quality control flag.
77c8315f-accb-4f77-a783-90955f207f94,modis,lst_day,1000,1,,,0.0,1,0,Values masked using quality control flag.
31c5ceb2-dcef-488a-83ef-5176cfd5ed93,modis,lst_day,1000,1,,,0.0,1,0,Values masked using quality control flag.
ca519123-c478-4248-afa4-9e55b8202b59,modis,lst_day,1000,1,307.98,0.3400000000000034,2.0,1,1,
dc033630-d97c-4b2b-a7e4-c525c775e0ce,modis,lst_day,1000,1,,,0.0,1,0,Values masked using quality control flag.
f21cba58-9597-4ba9-ba2b-7523a799ae69,modis,lst_day,1000,1,,,0.0,1,0,Values masked using quality control flag.
26e091d0-c593-4adb-b783-9483bf507d1e,modis,lst_day,1000,1,,,0.0,1,0,Values masked using quality control flag.
5c8a1b56-9dd4-42b8-96b4-e6640ce816b7,modis,lst_day,1000,1,297.66,0.0,1.0,1,1,
97b5d698-8698-4ab3-8d26-ae4a25aef16e,modis,lst_day,1000,1,297.66,0.0,1.0,1,1,
f08b7af5-8be1-42c9-ba07-8a20f63b61a2,modis,lst_day,1000,1,295.62,0.0,1.0,1,1,
01c51d58-a6ad-411c-9d4c-50223041205b,modis,lst_day,1000,1,,,0.0,1,0,Values masked using quality control flag.
b4d3f3cb-3fdf-486e-9dde-b64cd337e8c2,modis,lst_day,1000,1,,,0.0,1,0,Values masked using quality control flag.
