"scientificName","decimalLatitude","decimalLongitude","eventDate"
"Ninox strenua",-27.546894,153.058484,"2019-03-25"
"Ninox strenua",-30.4,152.34,"2019-08-01"
"Ninox strenua",-31.46,152.93,"2018-12-01"
"Ninox strenua",-30.46,152.91,"2019-08-01"
"Ninox strenua",-27.533609,152.820854,"2018-11-27"
"Ninox strenua",-27.547004,153.058431,"2019-04-28"
"Ninox strenua",-27.547023,153.058495,"2019-04-02"
"Ninox strenua",-30.78,152.98,"2019-07-01"
"Ninox strenua",-27.547879,153.058519,"2019-02-26"
"Ninox strenua",-27.548471,153.058844,"2019-01-24"
"Ninox strenua",-30.46,152.9,"2019-07-01"
"Ninox strenua",-30.46,152.91,"2018-11-01"
"Ninox strenua",-30.46,152.91,"2018-11-01"
"Ninox strenua",-37.86043,145.315009,"2019-06-12"
"Ninox strenua",-30.46,152.91,"2019-08-01"
"Ninox strenua",-27.546409,153.058509,"2019-03-01"
"Ninox strenua",-33.39,151.41,"2019-03-01"
"Ninox strenua",-30.46,152.91,"2019-07-01"
"Ninox strenua",-30.46,152.91,"2019-09-01"
"Ninox strenua",-27.546238,153.058487,"2018-11-29"
"Ninox strenua",-34.75,150.71,"2019-02-01"
"Ninox strenua",-27.549253,153.059517,"2019-01-31"
"Ninox strenua",-33.83,151.22,"2018-08-01"
"Ninox strenua",-33.68,151.02,"2019-08-01"
"Ninox strenua",-27.548754,153.059045,"2019-05-13"
"Ninox strenua",-30.46,152.91,"2019-02-01"
"Ninox strenua",-27.402895,152.8838,"2019-06-04"
"Ninox strenua",-27.547203,153.058519,"2019-05-10"
"Ninox strenua",-37.887691,145.632362,"2019-02-27"
"Ninox strenua",-37.880961,145.561552,"2019-04-16"
"Ninox strenua",-27.547953,153.058592,"2019-03-21"
"Ninox strenua",-29.14,153.26,"2019-09-01"
"Ninox strenua",-27.485288,152.984383,"2018-12-29"
"Ninox strenua",-33.72,151.28,"2019-06-01"
"Ninox strenua",-27.548754,153.059024,"2019-02-22"
"Ninox strenua",-27.54645,153.058434,"2018-12-31"
"Ninox strenua",-33.84,151.19,"2019-08-01"
"Ninox strenua",-29.48,152.32,"2019-04-01"
"Ninox strenua",-27.547047,153.058493,"2019-04-16"
"Ninox strenua",-30.46,152.91,"2019-03-01"
"Ninox strenua",-27.549192,153.059517,"2019-01-23"
"Ninox strenua",-27.546466,153.058498,"2018-11-28"
"Ninox strenua",-27.547099,153.058455,"2019-05-11"
"Ninox strenua",-27.545967,153.058691,"2018-12-08"
"Ninox strenua",-27.549829,153.060477,"2019-02-17"
"Ninox strenua",-27.549096,153.059238,"2019-02-17"
"Ninox strenua",-37.694768,145.315041,"2019-04-18"
