"scientificName","decimalLatitude","decimalLongitude","eventDate"
"Melopsittacus undulatus",-26.99568,139.01377,"2014-07-28"
"Melopsittacus undulatus",-15.720634,135.642014,"2016-07-25"
"Melopsittacus undulatus",-21.429984,144.993131,"2012-06-15"
"Melopsittacus undulatus",-32.049912,141.414219,"2014-10-04"
"Melopsittacus undulatus",-27.69466,120.625455,"2017-06-23"
"Melopsittacus undulatus",-26.08972,140.41,"2014-07-27"
"Melopsittacus undulatus",-29.69185,135.61804,"2010-10-11"
"Melopsittacus undulatus",-23.93611,133.7758,"2014-10-11"
"Melopsittacus undulatus",-23.69527,133.84944,"2010-08-20"
"Melopsittacus undulatus",-28.94454,140.11894,"2015-08-16"
"Melopsittacus undulatus",-21.57333,133.81056,"2010-09-21"
"Melopsittacus undulatus",-25.054047,132.160838,"2010-12-03"
"Melopsittacus undulatus",-17.989754,122.37083,"2017-07-24"
"Melopsittacus undulatus",-26.940174,151.432067,"2013-06-25"
"Melopsittacus undulatus",-21.93872,133.525061,"2018-04-12"
"Melopsittacus undulatus",-23.735619,133.856778,"2017-03-21"
"Melopsittacus undulatus",-36.092667,146.476657,"2012-12-16"
"Melopsittacus undulatus",-26.24515,130.18584,"2010-12-05"
"Melopsittacus undulatus",-27.25789,117.985024,"2015-12-06"
"Melopsittacus undulatus",-26.99568,139.01377,"2016-09-11"
"Melopsittacus undulatus",-27.98764,145.60875,"2012-11-30"
"Melopsittacus undulatus",-28.42333,151.8386,"2015-04-15"
"Melopsittacus undulatus",-26.99919,139.01792,"2016-09-11"
"Melopsittacus undulatus",-25.16761,136.34681,"2018-06-11"
"Melopsittacus undulatus",-19.023985,138.761444,"2016-08-10"
"Melopsittacus undulatus",-23.73749,133.87007,"2012-04-28"
"Melopsittacus undulatus",-30.16726,142.10293,"2014-05-22"
"Melopsittacus undulatus",-17.975202,122.344662,"2017-06-12"
"Melopsittacus undulatus",-23.735619,133.856778,"2012-01-29"
"Melopsittacus undulatus",-30.375,134.93332,"2011-07-28"
"Melopsittacus undulatus",-27.98764,145.60875,"2012-10-17"
"Melopsittacus undulatus",-22.62571,143.0553,"2012-08-05"
"Melopsittacus undulatus",-26.06079,139.39386,"2016-09-12"
"Melopsittacus undulatus",-28.18639,138.67632,"2016-09-07"
"Melopsittacus undulatus",-27.98764,145.60875,"2013-09-17"
"Melopsittacus undulatus",-23.59389,134.49306,"2010-07-01"
"Melopsittacus undulatus",-22.560638,142.96099,"2016-06-27"
"Melopsittacus undulatus",-19.50527,138.94,"2016-07-07"
"Melopsittacus undulatus",-22.54972,142.7111,"2014-08-27"
"Melopsittacus undulatus",-27.98722,145.6067,"2014-09-07"
"Melopsittacus undulatus",-23.68028,133.89403,"2017-03-14"
"Melopsittacus undulatus",-23.85946,138.48043,"2018-08-04"
"Melopsittacus undulatus",-29.9,116.2,"2011-01-08"
"Melopsittacus undulatus",-21.500779,135.192976,"2013-04-01"
"Melopsittacus undulatus",-22.385461,143.026529,"2016-06-11"
"Melopsittacus undulatus",-19.25,123.58333,"2012-07-11"
"Melopsittacus undulatus",-23.821406,141.263194,"2017-09-27"
"Melopsittacus undulatus",-23.81527,114.00972,"2017-05-06"
"Melopsittacus undulatus",-27.98764,145.60875,"2014-05-23"
"Melopsittacus undulatus",-27.20259,134.24183,"2016-08-07"
"Melopsittacus undulatus",-16.79135,137.45951,"2012-06-26"
"Melopsittacus undulatus",-27.9875,145.6069,"2012-06-06"
"Melopsittacus undulatus",-31.6025,139.56972,"2012-09-03"
"Melopsittacus undulatus",-22.33466,131.66069,"2017-02-17"
"Melopsittacus undulatus",-29.08977,141.22306,"2010-07-02"
"Melopsittacus undulatus",-25.317475,131.745729,"2016-10-16"
"Melopsittacus undulatus",-27.72042,138.25422,"2011-09-11"
"Melopsittacus undulatus",-28.67139,134.39472,"2016-08-11"
"Melopsittacus undulatus",-17.975202,122.344662,"2017-05-21"
"Melopsittacus undulatus",-34.59872,142.22177,"2011-10-30"
"Melopsittacus undulatus",-27.98333,141.75,"2012-11-05"
"Melopsittacus undulatus",-23.68909,132.67629,"2012-01-15"
"Melopsittacus undulatus",-24.92111,113.7331,"2015-08-09"
"Melopsittacus undulatus",-27.98764,145.60875,"2012-12-24"
"Melopsittacus undulatus",-24.56694,133.12667,"2010-06-14"
"Melopsittacus undulatus",-24.44,134.0275,"2010-10-10"
"Melopsittacus undulatus",-30.6,118.5,"2018-10-06"
"Melopsittacus undulatus",-19.49044,139.37818,"2011-04-17"
"Melopsittacus undulatus",-25.24371,130.97497,"2013-08-26"
"Melopsittacus undulatus",-21.600939,142.067728,"2016-06-29"
"Melopsittacus undulatus",-27.31443,133.62396,"2011-05-12"
"Melopsittacus undulatus",-17.975202,122.344662,"2015-06-16"
"Melopsittacus undulatus",-25.01095,133.19961,"2011-03-08"
"Melopsittacus undulatus",-29.5668,137.3409,"2016-08-16"
