event_id,lat,lng,date
3cf6bdb1-e87f-4788-9821-9eb79d9345fb,-38.0675,145.1325,2013-02-01
2f6193c1-2c64-4d49-a235-2fdb86e262f1,-37.880249,145.113426,2019-03-29
ca900591-fb09-4464-b029-039c0fc97d88,-37.73282,142.04481,2017-03-24
f3d6ae7a-69ff-44de-94b3-a507f9d0cb83,-37.675814,144.880035,2015-02-15
38339278-e18f-4235-b508-7b6d1ffe50c8,-37.25,145.41666,2010-10-22
c4e19b7e-9418-4981-93a4-d4d9da396788,-37.213333,143.645554,2012-12-21
7566b70c-40fe-4db7-b50b-27af60e0c35a,-37.05536,143.78752,2017-10-31
f09295ea-9876-452c-b792-09339c11f50d,-37.05387,144.22722,2011-11-28
9201332c-0e18-45c1-859d-4a3307f9fa4c,-37.02119,145.01129,2012-11-17
52b262fd-d585-4c8a-9f96-1cc95710ff42,-37.02119,145.01129,2012-12-18
a2c75b0f-a803-4f4f-808e-efe7dd707da2,-36.93855,145.0,2013-10-01
8c1f87a3-7a9e-49d7-9e85-ce4d602ed705,-36.887278,149.925781,2012-04-23
085c0c5a-de6a-4f0e-83f9-bc6d3b270f3f,-36.73583,141.93388,2013-11-14
2d59e893-a526-49b8-9cae-1b9600b25acb,-36.723544,144.307834,2017-02-26
4b1a45df-8c17-4fe5-9206-e4df2a32cc04,-36.61406,143.25522,2011-02-02
8df62fe2-7066-4c37-b491-045cd3549e02,-36.608583,145.024509,2017-11-08
42b4516b-7556-49e2-be38-8b721d6e786a,-36.526067,144.381123,2017-09-13
17478e7a-b98e-468e-a9e9-1fa10e39f373,-36.526067,144.381123,2017-09-17
ef294eb4-08b5-4d31-9c36-f9d21d0bf668,-36.526067,144.381123,2017-10-01
a5bd39b9-4821-43ed-9ce9-c58b382a2ece,-36.5,146.5,2012-12-16
0a98c496-3dec-4611-81a0-2ed6488d349b,-36.499387,144.403643,2017-09-12
6aa9f95f-668a-4e4e-9c9a-67ab99c80c05,-36.489381,140.350347,2019-12-17
3f62af24-a5e7-4716-b8b4-376c458d7b73,-36.4294,143.3644,2011-10-26
a1902cf2-8716-45cd-bee1-1954e2a90e36,-36.34346,143.62872,2012-11-04
5ca11f93-4d72-4b7f-8c92-30ad8b9822dd,-36.33479,145.744912,2013-03-06
1277ec4c-e599-43e4-aa05-74b88b301549,-36.29865,146.89591,2012-12-15
78ae7c72-a499-4421-b11f-9475f525e7aa,-36.2798,146.4194,2013-05-01
6c6d12bf-2821-4dfc-9443-123530d96004,-36.26545,145.96632,2010-11-29
1363302e-5ea5-4839-8cc7-a2b6e03844ab,-36.204358,140.344467,2019-11-09
8f1d98e7-4e62-4c14-bc88-d910b77e8f57,-36.20417,140.323883,2012-12-15
e1e5c6b8-b363-4824-9bb1-dd3c0f6e9ab0,-36.16448,144.0747,2012-10-07
a9c4b583-bd34-4299-8006-7fd12cf5e5f2,-36.158147,146.016712,2010-01-10
6cbee325-763a-49cf-9037-6497bdcef1ee,-36.158147,146.016712,2011-01-28
eb0a9be7-2f1d-470d-95f5-f3075a24df0a,-36.158147,146.016712,2011-02-19
8e246a3b-0dfd-4e73-99ea-e854e1476031,-36.15728,146.01671,2010-01-10
6ccdb187-049f-4a6d-8aa9-0836318a8375,-36.15728,146.01671,2011-01-28
c5fc2c55-1f03-406a-8db1-d626b27aa01a,-36.15728,146.01671,2011-02-19
9d5afc53-dce6-4399-84ce-7556add4f9e3,-36.15728,146.01671,2012-01-16
136b99a2-a6c3-4785-b0d3-fb45071e645a,-36.15728,146.01671,2013-01-07
19483feb-e937-4ebc-954d-06abc90eade8,-36.15173,146.60945,2010-01-19
3bab9018-4e21-45bb-b2de-c255eda1fcf5,-36.150422,144.227399,2011-05-17
a4636dbc-b169-4b7a-91a2-6a4df546d8af,-36.14785,144.23332,2011-10-16
a7a776d3-254c-4607-a32c-a012d9f8236a,-36.14785,144.23332,2011-10-21
427955b4-a108-4c0c-9d6f-d088282bfefc,-36.14785,144.23332,2012-10-25
06e4a8d8-3701-4441-b3f0-845694f957c8,-36.13044,143.74151,2013-08-24
73140ff4-e09d-4a02-84d1-5271d0de6ca9,-36.130283,140.388905,2019-12-04
179670c2-b3f1-4ad6-bebf-8e4c86b0add6,-36.120821,146.529465,2017-11-30
f54d3928-2387-4492-87a6-2faa431a3a3b,-36.1154,144.2298,2010-01-23
30bcbc94-cfe2-4d5e-9fc0-45295cb58c73,-36.10867,144.07714,2012-12-22
c7c2e7e2-1965-4ca7-9ac8-0b682a39db74,-36.10008,144.22966,2011-10-18
06240024-c664-429e-9107-b98a92885627,-36.092667,146.476657,2012-12-16
ce0a724a-7775-4ecc-9b42-cf9d6923e437,-36.08337,146.58335,2017-12-01
37f0230e-2ded-42f8-bb1d-e8ab491c838e,-36.08333,143.75,2013-01-28
c7113f58-21a4-4e57-b791-5bd6c7fdcff9,-36.08333,144.08333,2011-05-10
d36634bc-872e-439d-af9c-d846986fbb40,-36.08333,146.41667,2012-12-01
1da820a2-ad82-4178-8e7e-0cf681ca2630,-36.08333,146.41667,2012-12-02
0e9266c7-70a8-4e06-b4ad-5a03b2e42542,-36.077922,146.904682,2014-03-04
c2d909db-b2ec-409e-90be-dc25dde45857,-36.077034,146.921696,2012-05-04
168790e8-7871-4b7b-a93b-33413ec75795,-36.034988,140.296235,2020-01-20
3c369cb6-f4bd-4ed6-8216-ab982918fbb2,-35.920196,143.807602,2011-12-30
7a50766b-7625-4448-be3b-e42e6153bf97,-35.920196,143.807602,2012-01-22
8accf655-0ca7-45d2-92f8-dd7f70c55987,-35.88457,145.90896,2010-11-20
07272e0f-9566-49c7-83eb-5729e7be92ba,-35.834219,144.949794,2015-07-20
5510ea77-014e-4b7e-a3b8-6bae37f99468,-35.778132,145.854557,2010-11-20
75f8a1b2-bd42-4369-b513-b3f779ba1c77,-35.75,143.91666,2011-11-03
414f73c1-1cc8-4384-9a47-29fdd000a7b2,-35.73851,146.0544,2010-12-12
4a68b35c-2155-45ff-9beb-7a5f1e910c59,-35.73534,145.84373,2010-11-20
