event_id,product,variable,s_buff,t_buff,value,stdev,pixel_count,total_scenes,total_value_scenes,notes
ac53724e-033b-4724-9fe6-159f18b2a83d,modis,lst_day,1000,1,301.92,0.0,1.0,1,1,
60ad3b84-5c57-4975-bd96-1cc3b27433a8,modis,lst_day,1000,1,295.64,0.0,1.0,1,1,
727994e1-adcf-4a1a-af63-f875a9035e24,modis,lst_day,1000,1,311.01,0.7299999999999898,2.0,1,1,
8fa3e28d-5a2c-4b80-8b8c-487e9f162cd3,modis,lst_day,1000,1,306.22,0.8599999999999852,2.0,1,1,
44fe6d5f-19ae-43a5-bfcd-a0fc320fca65,modis,lst_day,1000,1,303.34000000000003,0.0,1.0,1,1,
0fcddc79-d9f2-46a3-8d53-36ce9c2f0864,modis,lst_day,1000,1,312.79,0.05000000000001137,2.0,1,1,
539d4337-4575-499b-ab4d-f5b8ba439c7d,modis,lst_day,1000,1,,,0.0,1,0,Values masked using quality control flag.
6512cb0f-972e-4fb4-acba-2e8c6c73786c,modis,lst_day,1000,1,313.99,0.14999999999997726,2.0,1,1,
f6f70d9f-fc4e-42bf-8d24-b0584995e110,modis,lst_day,1000,1,312.66,0.060000000000002274,2.0,1,1,
4b886fb6-3e51-4e2d-87af-bafd6d68bc40,modis,lst_day,1000,1,312.52,0.11999999999997613,2.0,1,1,
0145782a-ed6e-4445-87db-7b31da5e7cba,modis,lst_day,1000,1,314.34000000000003,0.20000000000001705,2.0,1,1,
b7cbb16a-6b4a-488b-bb92-56c99a16da7c,modis,lst_day,1000,1,305.20000000000005,0.09999999999999432,2.0,1,1,
3225d940-0749-4f84-bb4b-e1f98966f56b,modis,lst_day,1000,1,309.20000000000005,0.09999999999999432,2.0,1,1,
8bbcaab8-c200-4f77-b42b-196e2de4f28a,modis,lst_day,1000,1,,,0.0,1,0,Values masked using quality control flag.
1b0bd2a4-eb1d-4e14-8305-4bce4dca7369,modis,lst_day,1000,1,312.5466666666667,0.08219218670624896,3.0,1,1,
eb132f76-c2b2-42d4-8fb2-d447d0c86067,modis,lst_day,1000,1,307.15999999999997,1.4691494137765548,4.0,1,1,
7c58ac1d-6095-4ab7-80e7-868fd80a833e,modis,lst_day,1000,1,301.79999999999995,0.198662192343346,3.0,1,1,
e30478ee-daf4-4349-bc42-ffd728f0117f,modis,lst_day,1000,1,302.3,0.17281975195753488,3.0,1,1,
6e4c17c3-2584-4793-9521-74fb7b13c32e,modis,lst_day,1000,1,312.12,0.0,1.0,1,1,
96c391d4-259b-457a-a338-360e87b36874,modis,lst_day,1000,1,310.6,0.0,1.0,1,1,
87042aef-80ab-43a2-a257-db10416cfa64,modis,lst_day,1000,1,312.8,0.0,1.0,1,1,
5a8e811f-0336-4f20-946a-20f09087fb48,modis,lst_day,1000,1,,,0.0,1,0,Values masked using quality control flag.
a52e50e9-412c-470e-bd92-827505e03ac3,modis,lst_day,1000,1,309.12,0.0,1.0,1,1,
